,signature,body,docstring,id
58576,"@SinceKotlin(""1.7"") public fun IntProgression.lastOrNull(): Int?","{
    return if (isEmpty()) null else this.last
}","/**

 * Returns the last element, or `null` if the progression is empty.

 * 

 * @sample samples.collections.Collections.Elements.last

 */",f17092:m241
56460,public override operator fun compareTo(other: ComparableTimeMark): Int,(this - other).compareTo(Duration.ZERO),"/**

     * Compares this time mark with the [other] time mark for order.

     *

     * - Returns zero if this time mark represents *the same moment* of time as the [other] time mark.

     * - Returns a negative number if this time mark is *earlier* than the [other] time mark.

     * - Returns a positive number if this time mark is *later* than the [other] time mark.

     *

     * Note that the other time mark must be obtained from the same time source as this one.

     *

     * @throws IllegalArgumentException if time marks were obtained from different time sources.

     */",f16867:m401
1490,"fun setInlineCallMetadata(expression: JsExpression, psiElement: KtElement, descriptor: CallableDescriptor, context: TranslationContext)","{
    assert(CallExpressionTranslator.shouldBeInlined(descriptor)) { ""Expected descriptor of callable, that should be inlined, but got: $descriptor"" }
    val candidateNames = setOf(context.aliasedName(descriptor), context.getInnerNameForDescriptor(descriptor))
    val visitor = object : RecursiveJsVisitor() {
        override fun visitInvocation(invocation: JsInvocation) {
            super.visitInvocation(invocation)
            if (invocation.name in candidateNames || invocation.name?.descriptor?.original == descriptor.original) {
                invocation.descriptor = descriptor
                invocation.isInline = true
                invocation.psiElement = psiElement
            }
        }
    }
    visitor.accept(expression)
    context.addInlineCall(descriptor)
}","/**

 * Recursively walks expression and sets metadata for all invocations of descriptor.

 *

 * When JetExpression is compiled, the resulting JsExpression

 * might not be JsInvocation.

 *

 * For example, extension call with nullable receiver:

 *  x?.fn(y)

 * will compile to:

 *  (x != null) ? fn.call(x, y) : null

 */",f360:m63
14058,"public fun compareAndSet(expected: Long, newValue: Long): Boolean","this::value.compareAndSetField(expected, newValue)","/**

     * Atomically sets the value to the given [new value][newValue] if the current value equals the [expected value][expected],

     * returns true if the operation was successful and false only if the current value was not equal to the expected value.

     *

     * Provides sequential consistent ordering guarantees and cannot fail spuriously.

     */",f3718:m179
37463,private fun translateExtraClasses(),"{
    while (extraClassesToTranslate.isNotEmpty()) {
        val descriptor = extraClassesToTranslate.first()
        extraClassesToTranslate -= descriptor
        assert(shouldTranslateExtraClass(descriptor)) { ""Shouldn't be queued for translation: $descriptor"" }
        if (descriptor.isInterface) {
            generateInterface(descriptor)
        } else {
            generateClass(descriptor)
        }
    }
}","/**

     * Translates additional classes referenced from the module's declarations, such as parameter types, return types,

     * thrown exception types, and underlying enum types.

     *

     * This is required for classes from dependencies to be exported correctly. However, we also currently rely on this

     * for a few edge cases, such as some inner classes. Sub classes may reject certain descriptors to be translated.

     * Some referenced descriptors may be translated early for ordering reasons.

     * @see shouldTranslateExtraClass

     * @see generateExtraClassEarly

     * @see generateExtraInterfaceEarly

     */",f11824:m299
14885,"@SinceKotlin(""1.4"") public actual fun LongArray?.contentToString(): String","{
    return this?.joinToString("", "", ""["", ""]"") ?: ""null""
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f3831:m2097
57401,public fun FloatArray.toSortedSet(): java.util.SortedSet<Float>,"{
    return toCollection(java.util.TreeSet<Float>())
}","/**

 * Returns a new [SortedSet][java.util.SortedSet] of all elements.

 */",f16970:m4767
14833,"@SinceKotlin(""1.4"") public actual fun <T> Array<out T>?.contentDeepHashCode(): Int","{
    return contentDeepHashCodeImpl()
}","/**

 * Returns a hash code based on the contents of this array as if it is [List].

 * Nested arrays are treated as lists too.

 * 

 * If any of arrays contains itself on any nesting level the behavior is undefined.

 */",f3831:m573
13597,@kotlin.internal.IntrinsicConstEvaluation public inline operator fun compareTo(other: Long): Int,this.toLong().compareTo(other),"/**

     * Compares this value with the specified value for order.

     * Returns zero if this value is equal to the specified other value, a negative number if it's less than other,

     * or a positive number if it's greater than other.

     */",f3686:m1865
58032,@kotlin.internal.InlineOnly public inline operator fun times(other: UShort): UInt,this.toUInt().times(other.toUInt()),/** Multiplies this value by the other value. */,f17058:m205
58915,"@kotlin.jvm.JvmName(""sumOfDouble"") public fun Sequence<Double>.sum(): Double","{
    var sum: Double = 0.0
    for (element in this) {
        sum += element
    }
    return sum
}","/**

 * Returns the sum of all elements in the sequence.

 *

 * The operation is _terminal_.

 */",f17096:m6195
14897,"@SinceKotlin(""1.3"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun BooleanArray.copyInto(destination: BooleanArray, destinationOffset: Int = 0, startIndex: Int = 0, endIndex: Int = size): BooleanArray","{
    arrayCopy(this, startIndex, destination, destinationOffset, endIndex - startIndex)
    return destination
}","/**

 * Copies this array or its subrange into the [destination] array and returns that array.

 * 

 * It's allowed to pass the same array in the [destination] and even specify the subrange so that it overlaps with the destination range.

 * 

 * @param destination the array to copy to.

 * @param destinationOffset the position in the [destination] array to copy to, 0 by default.

 * @param startIndex the beginning (inclusive) of the subrange to copy, 0 by default.

 * @param endIndex the end (exclusive) of the subrange to copy, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException or [IllegalArgumentException] when [startIndex] or [endIndex] is out of range of this array indices or when `startIndex > endIndex`.

 * @throws IndexOutOfBoundsException when the subrange doesn't fit into the [destination] array starting at the specified [destinationOffset],

 * or when that index is out of the [destination] array indices range.

 * 

 * @return the [destination] array.

 */",f3831:m2521
14245,"public fun compareAndSet(expected: Long, newValue: Long): Boolean","this::value.compareAndSetField(expected, newValue)","/**

     * Atomically sets the value to the given [new value][newValue] if the current value equals the [expected value][expected],

     * returns true if the operation was successful and false only if the current value was not equal to the expected value.

     *

     * Provides sequential consistent ordering guarantees and cannot fail spuriously.

     */",f3762:m209
64456,"@SinceKotlin(""1.5"") @WasExperimental(ExperimentalPathApi::class) @Throws(IOException::class) @kotlin.internal.InlineOnly public inline fun Path.inputStream(vararg options: OpenOption): InputStream","{
    return Files.newInputStream(this, *options)
}","/**

 * Constructs a new InputStream of this file and returns it as a result.

 *

 * The [options] parameter determines how the file is opened. If no options are present then it is

 * equivalent to opening the file with the [READ][StandardOpenOption.READ] option.

 */",f17469:m443
10463,fun makePlan(sources: OrderedCollection<Constraint>): Plan,"{
    var mark = this.newMark()
    var plan = Plan()
    var todo = sources
    while (todo.size() > 0) {
        var c = todo.removeFirst()
        if (c.output().mark != mark && c.inputsKnown(mark)) {
            plan.addConstraint(c)
            c.output().mark = mark
            addConstraintsConsumingTo(c.output(), todo)
        }
    }
    return plan
}","/**

   * Extract a plan for resatisfaction starting from the given source

   * constraints, usually a set of input constraints. This method

   * assumes that stay optimization is desired the plan will contain

   * only constraints whose output variables are not stay. Constraints

   * that do no computation, such as stay and edit constraints, are

   * not included in the plan.

   * Details: The outputs of a constraint are marked when it is added

   * to the plan under construction. A constraint may be appended to

   * the plan when all its input variables are known. A variable is

   * known if either a) the variable is marked (indicating that has

   * been computed by a constraint appearing earlier in the plan), b)

   * the variable is 'stay' (i.e. it is a constant at plan execution

   * time), or c) the variable is not determined by any

   * constraint. The last provision is for past states of history

   * variables, which are not stay but which are also not computed by

   * any constraint.

   * Assume: sources are all satisfied.

   */",f3476:m1127
57519,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @Suppress(""INAPPLICABLE_JVM_NAME"") @kotlin.jvm.JvmName(""sumOfBigDecimal"") @ExperimentalUnsignedTypes @kotlin.internal.InlineOnly public inline fun UShortArray.sumOf(selector: (UShort) -> java.math.BigDecimal): java.math.BigDecimal","{
    var sum: java.math.BigDecimal = 0.toBigDecimal()
    for (element in this) {
        sum += selector(element)
    }
    return sum
}","/**

 * Returns the sum of all values produced by [selector] function applied to each element in the array.

 */",f16971:m1131
59094,"@SinceKotlin(""1.4"") @ExperimentalUnsignedTypes public fun maxOf(a: ULong, vararg other: ULong): ULong","{
    var max = a
    for (e in other) max = maxOf(max, e)
    return max
}","/**

 * Returns the greater of the given values.

 */",f17098:m211
48496,fun getExecutable(buildType: String): Executable,"getExecutable("""", buildType)",/** Returns an executable with the empty name prefix and the given build type. Throws an exception if there is no such binary.*/,f15652:m101
59116,"@kotlin.jvm.JvmName(""sumOfUShort"") @SinceKotlin(""1.5"") @WasExperimental(ExperimentalUnsignedTypes::class) public fun Iterable<UShort>.sum(): UInt","{
    var sum: UInt = 0u
    for (element in this) {
        sum += element
    }
    return sum
}","/**

 * Returns the sum of all elements in the collection.

 */",f17099:m229
11094,fun schedule(),"{
    this.currentTcb = this.list
    while (this.currentTcb != null) {
        if (this.currentTcb!!.isHeldOrSuspended()) {
            this.currentTcb = this.currentTcb!!.link
        } else {
            this.currentId = this.currentTcb!!.id
            this.currentTcb = this.currentTcb!!.run()
        }
    }
}","/**

     * Execute the tasks managed by this scheduler.

     */",f3500:m337
56325,"@SinceKotlin(""1.1"") public operator fun Float.rangeTo(that: Float): ClosedFloatingPointRange<Float>","ClosedFloatRange(this, that)","/**

 * Creates a range from this [Float] value to the specified [that] value.

 *

 * Numbers are compared with the ends of this range according to IEEE-754.

 * @sample samples.ranges.Ranges.rangeFromFloat

 */",f16848:m401
43601,"fun getOutputForTask(taskPath: String, output: String, logLevel: LogLevel = LogLevel.DEBUG): String","(when (logLevel) {
    LogLevel.INFO -> taskOutputRegexForInfoLog(taskPath)
    LogLevel.DEBUG -> taskOutputRegexForDebugLog(taskPath)
    else -> throw throw IllegalStateException(""Unsupported log lever for task output was given: $logLevel"")
}).findAll(output).map { it.groupValues[1] }.joinToString(System.lineSeparator()).ifEmpty { error(""""""

            Could not find output for task $taskPath.

            =================

            Build output is:

            $output 

            =================     

            """""".trimIndent()) }","/**

 * Gets the output produced by a specific task during a Gradle build.

 *

 * @param taskPath The path of the task whose output should be retrieved.

 * @param output The output from which we should extract task's output

 * @param logLevel The given output contains no more than the [logLevel] logs.

 *

 * @return The output produced by the specified task during the build.

 *

 * @throws IllegalStateException if the specified task path does not match any tasks in the build.

 */",f13459:m95
54742,"@Suppress(""NOTHING_TO_INLINE"") public actual inline operator fun DoubleArray.plus(element: Double): DoubleArray","{
    return plus(doubleArrayOf(element))
}","/**

 * Returns an array containing all elements of the original array and then the given [element].

 */",f16713:m2711
64030,@kotlin.internal.IntrinsicConstEvaluation public inline operator fun compareTo(other: Long): Int,this.toLong().compareTo(other),"/**

     * Compares this value with the specified value for order.

     * Returns zero if this value is equal to the specified other value, a negative number if it's less than other,

     * or a positive number if it's greater than other.

     */",f17455:m137
53102,"@SinceKotlin(""1.4"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun ByteArray.decodeToString(startIndex: Int = 0, endIndex: Int = this.size, throwOnInvalidSequence: Boolean = false): String","{
    AbstractList.checkBoundsIndexes(startIndex, endIndex, this.size)
    return decodeUtf8(this, startIndex, endIndex, throwOnInvalidSequence)
}","/**

 * Decodes a string from the bytes in UTF-8 encoding in this array or its subrange.

 *

 * @param startIndex the beginning (inclusive) of the subrange to decode, 0 by default.

 * @param endIndex the end (exclusive) of the subrange to decode, size of this array by default.

 * @param throwOnInvalidSequence specifies whether to throw an exception on malformed byte sequence or replace it by the replacement char `\uFFFD`.

 *

 * @throws IndexOutOfBoundsException if [startIndex] is less than zero or [endIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [startIndex] is greater than [endIndex].

 * @throws CharacterCodingException if the byte array contains malformed UTF-8 byte sequence and [throwOnInvalidSequence] is true.

 */",f16617:m275
53185,"@OptIn(JsIntrinsic::class) @SinceKotlin(""1.9"") @ExperimentalJsReflectionCreateInstance public fun <T: Any> KClass<T>.createInstance(): T","{
    val jsClass = js.asDynamic()
    if (jsClass === js(""Object"")) return js(""{}"")
    val noArgsConstructor = jsClass.`$metadata$`.unsafeCast<Metadata?>()?.defaultConstructor ?: throw IllegalArgumentException(""Class \""$simpleName\"" should have a single no-arg constructor"")
    return if (jsIsEs6() && noArgsConstructor !== jsClass) {
        js(""noArgsConstructor.call(jsClass)"")
    } else {
        js(""new noArgsConstructor()"")
    }
}","/**

 * Creates a new instance of the class, calling a constructor which either has no parameters or all parameters of which have

 * a default value. If there are no or many such constructors, an exception is thrown.

 */",f16639:m15
63681,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.3"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") @ExperimentalUnsignedTypes public fun UShortArray.contentToString(): String","{
    return this.contentToString()
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f17408:m565
41439,"private fun fillLookupStorage(projectRoot: File, reverseFiles: Boolean, reverseLookups: Boolean, storeFullFqNames: Boolean = false)","{
    val storageRoot = projectRoot.storageRoot
    val fileToPathConverter = RelativeFileToPathConverter(projectRoot)
    val icContext = IncrementalCompilationContext(pathConverterForSourceFiles = fileToPathConverter, storeFullFqNamesInLookupCache = storeFullFqNames)
    val lookupStorage = LookupStorage(storageRoot, icContext)
    val files = LinkedHashSet<String>()
    val symbols = LinkedHashSet<LookupSymbol>()
    val lookups = MultiMap.createOrderedSet<LookupSymbol, String>()
    for (i in 0 .. 10) {
        val newSymbol = LookupSymbol(name = ""MyClass_$i"", scope = ""myscope_$i"")
        val newSourcePath = projectRoot.resolve(""src/${newSymbol.asRelativePath()}"").canonicalFile.invariantSeparatorsPath
        symbols.add(newSymbol)
        for (lookedUpSymbol in symbols) {
            lookups.putValue(lookedUpSymbol, newSourcePath)
        }
        files.add(newSourcePath)
    }
    val filesToAdd = if (reverseFiles) files.reversedSet() else files
    val lookupsToAdd = if (reverseLookups) lookups.reversedMultiMap() else lookups
    lookupStorage.addAll(lookupsToAdd, filesToAdd)
    lookupStorage.flush()
}","/**

     * Fills lookup storage in [projectRoot] with N fq-names,

     * where i_th fq-name myscope_i.MyClass_i has lookups for previous fq-names (from 0 to i-1)

     */",f13039:m89
50925,internal fun addBuildEventsListenerRegistryMock(project: Project),"{
    val executedExtensionKey = ""addBuildEventsListenerRegistryMock.executed""
    try {
        if (project.findExtension<Boolean>(executedExtensionKey) == true) return
        val projectScopeServices = (project as DefaultProject).services as ProjectScopeServices
        val state: Field = ProjectScopeServices::class.java.superclass.getDeclaredField(""state"")
        state.isAccessible = true
        @Suppress(""UNCHECKED_CAST"") val stateValue: AtomicReference<Any> = state.get(projectScopeServices) as AtomicReference<Any>
        val enumClass = Class.forName(DefaultServiceRegistry::class.java.name + ""\$State"")
        stateValue.set(enumClass.enumConstants[0])
        projectScopeServices.add(BuildEventsListenerRegistry::class.java, BuildEventsListenerRegistryMock)
        stateValue.set(enumClass.enumConstants[1])
        project.addExtension(executedExtensionKey, true)
    } catch (e: Throwable) {
        throw RuntimeException(e)
    }
}","/**

 * In Gradle 6.7-rc-1 BuildEventsListenerRegistry service is not created in we need it in order

 * to instantiate AGP. This creates a fake one and injects it - http://b/168630734.

 * https://github.com/gradle/gradle/issues/16774 (Waiting for Gradle 7.5)

 */",f16193:m39
23992,"fun get(annotated: FirAnnotationContainer, config: LombokConfig, session: FirSession): T","extract(annotated.annotations.findAnnotation(annotationName), config, session)","/**

     * Get from annotation or config or default

     */",f9095:m131
57375,@kotlin.internal.InlineOnly public actual inline fun <T: Comparable<T>> Array<out T>.sort(): Unit,"{
    @Suppress(""UNCHECKED_CAST"") (this as Array<Any?>).sort()
}","/**

 * Sorts the array in-place according to the natural order of its elements.

 * 

 * The sort is _stable_. It means that equal elements preserve their order relative to each other after sorting.

 * 

 * @sample samples.collections.Arrays.Sorting.sortArrayOfComparable

 */",f16970:m4127
15027,"@SinceKotlin(""1.1"") @kotlin.internal.InlineOnly public actual inline fun maxOf(a: Float, b: Float, c: Float): Float","{
    return maxOf(a, maxOf(b, c))
}","/**

 * Returns the greater of three values.

 * 

 * If any value is `NaN`, returns `NaN`.

 */",f3836:m255
54835,"@SinceKotlin(""1.4"") public actual fun minOf(a: Short, vararg other: Short): Short","{
    var min = a
    for (e in other) min = minOf(min, e)
    return min
}","/**

 * Returns the smaller of the given values.

 */",f16714:m769
61752,"@SinceKotlin(""1.4"") public fun Element.hasClass(cssClass: String): Boolean","className.matches(""""""(^|.*\s+)$cssClass($|\s+.*)"""""".toRegex())",/** Returns true if the element has the given CSS class style in its 'class' attribute */,f17275:m19
57251,"public fun DoubleArray.binarySearch(element: Double, fromIndex: Int = 0, toIndex: Int = size): Int","{
    return java.util.Arrays.binarySearch(this, fromIndex, toIndex, element)
}","/**

 * Searches the array or the range of the array for the provided [element] using the binary search algorithm.

 * The array is expected to be sorted, otherwise the result is undefined.

 * 

 * If the array contains multiple elements equal to the specified [element], there is no guarantee which one will be found.

 * 

 * @param element the to search for.

 * @param fromIndex the start of the range (inclusive) to search in, 0 by default.

 * @param toIndex the end of the range (exclusive) to search in, size of this array by default.

 * 

 * @return the index of the element, if it is contained in the array within the specified range;

 * otherwise, the inverted insertion point `(-insertion point - 1)`.

 * The insertion point is defined as the index at which the element should be inserted,

 * so that the array (or the specified subrange of array) still remains sorted.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f16970:m805
58910,"@kotlin.jvm.JvmName(""sumOfByte"") public fun Sequence<Byte>.sum(): Int","{
    var sum: Int = 0
    for (element in this) {
        sum += element
    }
    return sum
}","/**

 * Returns the sum of all elements in the sequence.

 *

 * The operation is _terminal_.

 */",f17096:m6055
14237,public fun getAndIncrement(): Int,this::value.getAndAddField(1),"/**

     * Atomically increments the current value by one and returns the old value.

     */",f3762:m103
59096,"@SinceKotlin(""1.4"") @ExperimentalUnsignedTypes public fun maxOf(a: UShort, vararg other: UShort): UShort","{
    var max = a
    for (e in other) max = maxOf(max, e)
    return max
}","/**

 * Returns the greater of the given values.

 */",f17098:m255
46498,fun main(args: Array<String>),"{
    fun readLines(url: String): List<String> {
        return URL(url).openStream().reader().readLines()
    }
    val unicodeDataLines = readLines(unicodeDataUrl).map { line -> UnicodeDataLine(line.split("";"")) }
    val bmpUnicodeDataLines = unicodeDataLines.filter { line -> line.char.length <= 4 }
    fun String.isEmptyOrComment(): Boolean = isEmpty() || startsWith(""#"")
    val specialCasingLines = readLines(specialCasingUrl).filterNot(String::isEmptyOrComment).map { line -> SpecialCasingLine(line.split(""; "")) }
    val propListLines = readLines(propListUrl).filterNot(String::isEmptyOrComment).map { line -> PropertyLine(line.split(""; "").map { it.trim() }) }
    val wordBreakPropertyLines = readLines(wordBreakPropertyUrl).filterNot(String::isEmptyOrComment).map { line -> PropertyLine(line.split(""; "").map { it.trim() }) }
    val derivedCorePropertiesLines = readLines(derivedCorePropertiesUrl).filterNot(String::isEmptyOrComment).map { line -> PropertyLine(line.split(""; "").map { it.trim() }) }
    val categoryRangesGenerators = mutableListOf<RangesGenerator>()
    val otherLowercaseGenerators = mutableListOf<OtherLowercaseRangesGenerator>()
    val otherUppercaseGenerators = mutableListOf<OtherUppercaseRangesGenerator>()
    fun addRangesGenerators(generatedDir: File, target: KotlinTarget) {
        val category = RangesGenerator.forCharCategory(generatedDir.resolve(""_CharCategories.kt""), target)
        val digit = RangesGenerator.forDigit(generatedDir.resolve(""_DigitChars.kt""), target)
        val letter = RangesGenerator.forLetter(generatedDir.resolve(""_LetterChars.kt""), target)
        val whitespace = RangesGenerator.forWhitespace(generatedDir.resolve(""_WhitespaceChars.kt""))
        categoryRangesGenerators.add(category)
        categoryRangesGenerators.add(digit)
        categoryRangesGenerators.add(letter)
        categoryRangesGenerators.add(whitespace)
        otherLowercaseGenerators.add(OtherLowercaseRangesGenerator(generatedDir.resolve(""_OtherLowercaseChars.kt""), target))
        otherUppercaseGenerators.add(OtherUppercaseRangesGenerator(generatedDir.resolve(""_OtherUppercaseChars.kt""), target))
    }
    val oneToOneMappingsGenerators = mutableListOf<MappingsGenerator>()
    fun addOneToOneMappingsGenerators(generatedDir: File, target: KotlinTarget) {
        val uppercase = MappingsGenerator.forUppercase(generatedDir.resolve(""_UppercaseMappings.kt""), target)
        val lowercase = MappingsGenerator.forLowercase(generatedDir.resolve(""_LowercaseMappings.kt""), target)
        val titlecase = MappingsGenerator.forTitlecase(generatedDir.resolve(""_TitlecaseMappings.kt""))
        oneToOneMappingsGenerators.add(uppercase)
        oneToOneMappingsGenerators.add(lowercase)
        oneToOneMappingsGenerators.add(titlecase)
    }
    val oneToManyMappingsGenerators = mutableListOf<OneToManyMappingsGenerator>()
    fun addOneToManyMappingsGenerators(generatedDir: File, target: KotlinTarget) {
        val uppercase = OneToManyMappingsGenerator.forUppercase(generatedDir.resolve(""_OneToManyUppercaseMappings.kt""), target, bmpUnicodeDataLines)
        val lowercase = OneToManyMappingsGenerator.forLowercase(generatedDir.resolve(""_OneToManyLowercaseMappings.kt""), target, bmpUnicodeDataLines)
        oneToManyMappingsGenerators.add(uppercase)
        oneToManyMappingsGenerators.add(lowercase)
    }
    val stringUppercaseGenerators = mutableListOf<StringUppercaseGenerator>()
    val stringLowercaseGenerators = mutableListOf<StringLowercaseGenerator>()
    val categoryTestGenerator: CharCategoryTestGenerator
    val stringCasingTestGenerator: StringCasingTestGenerator
    when (args.size) {
        1 -> {
            val baseDir = File(args.first())
            val categoryTestFile = baseDir.resolve(""libraries/stdlib/js/test/text/unicodeData/_CharCategoryTest.kt"")
            categoryTestGenerator = CharCategoryTestGenerator(categoryTestFile)
            val commonGeneratedDir = baseDir.resolve(""libraries/stdlib/common/src/generated"")
            oneToManyMappingsGenerators.add(OneToManyMappingsGenerator.forTitlecase(commonGeneratedDir.resolve(""_OneToManyTitlecaseMappings.kt""), bmpUnicodeDataLines))
            val jsGeneratedDir = baseDir.resolve(""libraries/stdlib/js/src/generated/"")
            addRangesGenerators(jsGeneratedDir, KotlinTarget.JS)
            oneToOneMappingsGenerators.add(MappingsGenerator.forTitlecase(jsGeneratedDir.resolve(""_TitlecaseMappings.kt"")))
            val nativeGeneratedDir = baseDir.resolve(""kotlin-native/runtime/src/main/kotlin/generated/"")
            addRangesGenerators(nativeGeneratedDir, KotlinTarget.Native)
            addOneToOneMappingsGenerators(nativeGeneratedDir, KotlinTarget.Native)
            addOneToManyMappingsGenerators(nativeGeneratedDir, KotlinTarget.Native)
            stringUppercaseGenerators.add(StringUppercaseGenerator(nativeGeneratedDir.resolve(""_StringUppercase.kt""), unicodeDataLines, KotlinTarget.Native))
            stringLowercaseGenerators.add(StringLowercaseGenerator(nativeGeneratedDir.resolve(""_StringLowercase.kt""), unicodeDataLines, KotlinTarget.Native))
            val wasmGeneratedDir = baseDir.resolve(""libraries/stdlib/wasm/src/generated/"")
            addRangesGenerators(wasmGeneratedDir, KotlinTarget.WASM)
            addOneToOneMappingsGenerators(wasmGeneratedDir, KotlinTarget.WASM)
            addOneToManyMappingsGenerators(wasmGeneratedDir, KotlinTarget.WASM)
            stringUppercaseGenerators.add(StringUppercaseGenerator(wasmGeneratedDir.resolve(""_StringUppercase.kt""), unicodeDataLines, KotlinTarget.WASM))
            stringLowercaseGenerators.add(StringLowercaseGenerator(wasmGeneratedDir.resolve(""_StringLowercase.kt""), unicodeDataLines, KotlinTarget.WASM))
            val nativeTestDir = baseDir.resolve(""kotlin-native/runtime/test/text"")
            stringCasingTestGenerator = StringCasingTestGenerator(nativeTestDir)
            fun downloadFile(fromUrl: String) {
                val fileName = File(fromUrl).name
                val dest = baseDir.resolve(""libraries/tools/kotlin-stdlib-gen/src/generators/unicode/$fileName"")
                dest.writeText(readLines(fromUrl).joinToString(separator = ""\n""))
            }
            downloadFile(unicodeDataUrl)
            downloadFile(specialCasingUrl)
        }
        else -> {
            println(""""""Parameters:
            
                <kotlin-base-dir> - generates sources for js, js-ir and native targets using paths derived from specified base path
            
            """""")
            exitProcess(1)
        }
    }
    categoryRangesGenerators.forEach {
        bmpUnicodeDataLines.forEach { line -> it.appendLine(line) }
        it.generate()
    }
    otherLowercaseGenerators.forEach {
        propListLines.forEach { line -> it.appendLine(line) }
        it.generate()
    }
    otherUppercaseGenerators.forEach {
        propListLines.forEach { line -> it.appendLine(line) }
        it.generate()
    }
    categoryTestGenerator.let {
        bmpUnicodeDataLines.forEach { line -> it.appendLine(line) }
        propListLines.forEach { line -> it.appendPropertyLine(line) }
        it.generate()
    }
    oneToOneMappingsGenerators.forEach {
        unicodeDataLines.forEach { line -> it.appendLine(line) }
        it.generate()
    }
    oneToManyMappingsGenerators.forEach {
        specialCasingLines.forEach { line -> it.appendLine(line) }
        it.generate()
    }
    stringUppercaseGenerators.forEach {
        specialCasingLines.forEach { line -> it.appendSpecialCasingLine(line) }
        it.generate()
    }
    stringLowercaseGenerators.forEach {
        specialCasingLines.forEach { line -> it.appendSpecialCasingLine(line) }
        wordBreakPropertyLines.forEach { line -> it.appendWordBreakPropertyLine(line) }
        it.generate()
    }
    stringCasingTestGenerator.let {
        derivedCorePropertiesLines.forEach { line -> it.appendDerivedCorePropertiesLine(line) }
        it.generate()
    }
}","/**

 * This program generates sources related to UnicodeData.txt and SpecialCasing.txt.

 * Pass the root directory of the project to generate sources for js, js-ir and native.

 *  _CharCategoryTest.kt and supporting files are also generated to test the generated sources.

 *  The generated test is meant to be run after updating Unicode version and should not be merged to master.

 */",f15062:m61
58700,public fun Int.coerceAtLeast(minimumValue: Int): Int,"{
    return if (this < minimumValue) minimumValue else this
}","/**

 * Ensures that this value is not less than the specified [minimumValue].

 * 

 * @return this value if it's greater than or equal to the [minimumValue] or the [minimumValue] otherwise.

 * 

 * @sample samples.comparisons.ComparableOps.coerceAtLeast

 */",f17092:m2473
56521,"@SinceKotlin(""1.4"") @kotlin.internal.InlineOnly public actual inline fun StringBuilder.appendLine(value: Float): StringBuilder",append(value).appendLine(),"/** Appends [value] to this [StringBuilder], followed by a line feed character (`\n`). */",f16890:m457
58912,"@kotlin.jvm.JvmName(""sumOfInt"") public fun Sequence<Int>.sum(): Int","{
    var sum: Int = 0
    for (element in this) {
        sum += element
    }
    return sum
}","/**

 * Returns the sum of all elements in the sequence.

 *

 * The operation is _terminal_.

 */",f17096:m6111
58282,"@SinceKotlin(""1.5"") @WasExperimental(ExperimentalUnsignedTypes::class) public fun ULong.toString(radix: Int): String","ulongToString(this.toLong(), checkRadix(radix))","/**

 * Returns a string representation of this [Long] value in the specified [radix].

 *

 * @throws IllegalArgumentException when [radix] is not a valid radix for number to string conversion.

 */",f17067:m81
54663,"@SinceKotlin(""1.4"") public actual fun <T> Array<out T>?.contentDeepToString(): String","{
    return contentDeepToStringImpl()
}","/**

 * Returns a string representation of the contents of this array as if it is a [List].

 * Nested arrays are treated as lists too.

 * 

 * If any of arrays contains itself on any nesting level that reference

 * is rendered as `""[...]""` to prevent recursion.

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentDeepToString

 */",f16713:m537
53404,"@Suppress(""UNUSED_PARAMETER"", ""unused"") @PublishedApi internal fun <R, P, T> (suspend R.(P) -> T).invokeSuspendSuperTypeWithReceiverAndParam(receiver: R, param: P, completion: Continuation<T>): Any?","{
    throw NotImplementedError(""It is intrinsic method"")
}","/**

 * Invoke 'invoke' method of suspend super type with receiver and param

 * Because callable references translated with local classes,

 * necessary to call it in special way, not in synamic way

 */",f16673:m81
